Density (people per sq. km.),,,,,                                                                                                                                                                                      
,,,,,                                                                                                                                                                                                                  
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                              
Tunisia,Africa,2011,Number,65,                                                                                                                                                                                         
Turkey,Europe,2011,Number,94,                                                                                                                                                                                          
Turkmenistan,Asia,2011,Number,10,                                                                                                                                                                                      
Tuvalu,Pacific,2011,Number,431,                                                                                                                                                                                        
Uganda,Africa,2011,Number,143,                                                                                                                                                                                         
Ukraine,Europe,2011,Number,76,                                                                                                                                                                                         
United Arab Emirates,Middle East,2011,Number,94,                                                                                                                                                                       
United Kingdom,Europe,2011,Number,258,                                                                                                                                                                                 
United States,North America,2011,Number,32,                                                                                                                                                                            
Uruguay,South America,2011,Number,19,                                                                                                                                                                                  
Uzbekistan,Asia,2011,Number,64,                                                                                                                                                                                        
Vanuatu,Pacific,2011,Number,21,                                                                                                                                                                                        
Venezuela,South America,2011,Number,32,                                                                                                                                                                                
Vietnam,Asia,2011,Number,265,                                                                                                                                                                                          
Western Sahara,Africa,2011,Number,2,                                                                                                                                                                                   
Yemen,Middle East,2011,Number,45,                                                                                                                                                                                      
Zambia,Africa,2011,Number,18,                                                                                                                                                                                          
Zimbabwe,Africa,2011,Number,31,                                                                                                                                                                                        
,,,,,                                                                                                                                                                                                                  
Source,,,,,                                                                                                                                                                                                            
PRB 2011 World Population Data Sheet,,,,,                                                                                                                                                                              
