color,type,pack
brown,plain,23
blue,plain,23
brown,plain,23
yellow,plain,23
orange,plain,23
brown,plain,23
blue,plain,23
green,plain,23
orange,plain,23
green,plain,23
blue,plain,23
orange,plain,23
red,plain,23
green,plain,23
blue,plain,24
yellow,plain,24
blue,plain,24
green,plain,24
blue,plain,24
green,plain,24
yellow,plain,24
blue,plain,24
red,plain,24
brown,plain,24
brown,plain,24
red,plain,24
yellow,plain,24
blue,plain,24
brown,plain,24
blue,plain,24
red,plain,24
yellow,plain,24
orange,plain,24
brown,plain,24
brown,plain,24
brown,plain,24
brown,plain,24
brown,plain,24
red,plain,24
blue,plain,24
yellow,plain,24
green,plain,24
blue,plain,24
green,plain,24
orange,plain,24
brown,plain,24
yellow,plain,24
orange,plain,24
yellow,plain,24
orange,plain,24
yellow,plain,24
green,plain,24
orange,plain,24
green,plain,24
yellow,plain,24
green,plain,24
yellow,plain,24
blue,plain,24
blue,plain,24
orange,plain,24
orange,plain,24
green,plain,24
yellow,plain,24
brown,plain,24
orange,plain,24
green,plain,24
orange,plain,24
orange,plain,24
brown,plain,24
green,plain,24
blue,plain,24
green,plain,25
brown,plain,25
green,plain,25
green,plain,25
blue,plain,25
red,plain,25
red,plain,25
green,plain,25
blue,plain,25
yellow,plain,25
orange,plain,25
green,plain,25
yellow,plain,25
orange,plain,25
blue,plain,25
green,plain,25
blue,plain,25
brown,plain,25
green,plain,25
blue,plain,25
orange,plain,25
blue,plain,25
orange,plain,25
green,plain,25
red,plain,25
yellow,plain,25
blue,plain,25
brown,plain,25
yellow,plain,25
brown,plain,25
red,plain,25
brown,plain,25
blue,plain,25
green,plain,25
blue,plain,25
orange,plain,25
brown,plain,25
red,plain,25
green,plain,25
orange,plain,25
green,plain,25
orange,plain,25
orange,plain,25
blue,plain,25
orange,plain,25
brown,plain,25
brown,plain,25
yellow,plain,25
green,plain,25
orange,plain,25
orange,plain,25
yellow,plain,25
green,plain,25
yellow,plain,26
brown,plain,26
green,plain,26
yellow,plain,26
green,plain,26
brown,plain,26
brown,plain,26
orange,plain,26
red,plain,26
orange,plain,26
red,plain,26
brown,plain,26
green,plain,26
yellow,plain,26
brown,plain,26
orange,plain,26
green,plain,26
blue,plain,26
red,plain,26
blue,plain,26
orange,plain,26
red,plain,26
orange,plain,26
green,plain,26
brown,plain,26
orange,plain,26
green,plain,26
orange,plain,26
red,plain,26
blue,plain,26
orange,plain,26
red,plain,26
brown,plain,26
green,plain,26
brown,plain,26
yellow,plain,26
green,plain,26
yellow,plain,26
green,plain,26
orange,plain,26
red,plain,26
red,plain,26
orange,plain,26
blue,plain,26
yellow,plain,26
blue,plain,26
blue,plain,26
red,plain,26
red,plain,26
blue,plain,26
red,plain,26
orange,plain,26
red,plain,26
green,plain,26
green,plain,27
orange,plain,27
yellow,plain,27
red,plain,27
orange,plain,27
orange,plain,27
orange,plain,27
yellow,plain,27
brown,plain,27
red,plain,27
red,plain,27
red,plain,27
green,plain,27
orange,plain,27
yellow,plain,27
brown,plain,27
orange,plain,27
red,plain,27
green,plain,27
orange,plain,27
blue,plain,27
blue,plain,27
red,plain,27
blue,plain,27
red,plain,27
orange,plain,27
yellow,plain,27
green,plain,27
orange,plain,27
red,plain,27
orange,plain,27
red,plain,27
green,plain,27
orange,plain,27
orange,plain,27
orange,plain,27
red,plain,27
green,plain,27
orange,plain,27
brown,plain,27
brown,plain,27
red,plain,27
blue,plain,27
yellow,plain,27
green,plain,27
blue,plain,27
red,plain,27
green,plain,27
yellow,plain,27
green,plain,27
brown,plain,27
yellow,plain,27
yellow,plain,27
blue,plain,27
brown,plain,28
brown,plain,28
yellow,plain,28
yellow,plain,28
brown,plain,28
yellow,plain,28
yellow,plain,28
orange,plain,28
red,plain,28
brown,plain,28
red,plain,28
brown,plain,28
red,plain,28
red,plain,28
green,plain,28
brown,plain,28
blue,plain,28
yellow,plain,28
blue,plain,28
orange,plain,28
orange,plain,28
yellow,plain,28
red,plain,28
blue,plain,28
yellow,plain,28
orange,plain,28
blue,plain,28
orange,plain,28
orange,plain,28
brown,plain,28
green,plain,28
blue,plain,28
red,plain,28
orange,plain,28
blue,plain,28
green,plain,28
red,plain,28
blue,plain,28
orange,plain,28
yellow,plain,28
green,plain,28
orange,plain,28
yellow,plain,28
red,plain,28
brown,plain,28
yellow,plain,28
red,plain,28
green,plain,28
brown,plain,28
blue,plain,28
yellow,plain,28
red,plain,28
yellow,plain,28
orange,plain,28
green,plain,28
brown,plain,28
red,plain,28
green,plain,29
green,plain,29
yellow,plain,29
yellow,plain,29
red,plain,29
blue,plain,29
red,plain,29
red,plain,29
green,plain,29
blue,plain,29
red,plain,29
red,plain,29
blue,plain,29
yellow,plain,29
green,plain,29
yellow,plain,29
red,plain,29
blue,plain,29
blue,plain,29
orange,plain,29
yellow,plain,29
green,plain,29
orange,plain,29
brown,plain,29
green,plain,29
brown,plain,29
brown,plain,29
orange,plain,29
blue,plain,29
orange,plain,29
blue,plain,29
orange,plain,29
brown,plain,29
brown,plain,29
red,plain,29
green,plain,29
red,plain,29
orange,plain,29
blue,plain,29
red,plain,29
blue,plain,29
brown,plain,29
red,plain,29
blue,plain,29
red,plain,29
yellow,plain,29
orange,plain,29
orange,plain,29
orange,plain,29
red,plain,29
green,plain,29
yellow,plain,29
brown,plain,29
orange,plain,29
blue,plain,29
yellow,plain,29
yellow,plain,30
yellow,plain,30
brown,plain,30
brown,plain,30
orange,plain,30
green,plain,30
green,plain,30
brown,plain,30
brown,plain,30
yellow,plain,30
yellow,plain,30
brown,plain,30
green,plain,30
orange,plain,30
green,plain,30
orange,plain,30
blue,plain,30
yellow,plain,30
red,plain,30
orange,plain,30
brown,plain,30
blue,plain,30
orange,plain,30
green,plain,30
brown,plain,30
yellow,plain,30
blue,plain,30
yellow,plain,30
