country	lifexp-2011	fertilrate-2011	lifexp-2000	fertilrate-2000	lifexp-1990	fertilrate-1990
Cuba	78.89382927	1.459	76.66895122	1.626	74.64429268	1.752
Curacao						
Cayman Islands						
Cyprus	79.47195122	1.47	77.97165854	1.714	76.51395122	2.411
Czech Republic	77.87317073	1.43	74.96829268	1.14	71.38390244	1.893
Germany	80.74146341	1.36	77.92682927	1.38	75.17736585	1.45
Djibouti	60.80307317	3.53	57.01034146	4.469	56.66317073	6.087
Dominica						
Denmark	79.8	1.75	76.59268293	1.77	74.80536585	1.67
Dominican Republic	73.01304878	2.551	70.63273171	2.892	67.95041463	3.466
Algeria	70.75168293	2.829	68.93019512	2.514	66.75117073	4.761
East Asia & Pacific (developing only)	73.65942739	1.85518863	70.85422849	1.82404228	68.25272381	2.730881587
East Asia & Pacific (all income levels)	74.54424749	1.81716911	71.8100272	1.786999397	69.247053	2.605302804
Europe & Central Asia (developing only)	72.01891799	1.953678897	69.02006465	1.881058754	67.84294189	2.589358709
Europe & Central Asia (all income levels)	76.20369912	1.704275012	73.00554002	1.55566099	72.04821895	1.946332935
Ecuador	75.91660976	2.622	73.35685366	3.068	68.83907317	3.765
"Egypt, Arab Rep."	70.67856098	2.845	68.5912439	3.306	64.54907317	4.35
Euro area	81.29954827	1.559165982	78.31951032	1.475680742	75.98996451	1.503845534
Eritrea	61.71092683	4.875	56.02653659	5.94	48.23595122	6.488
Spain	82.32682927	1.36	78.96585366	1.23	76.83756098	1.33
Estonia	76.12682927	1.52	70.41707317	1.38	69.47560976	2.04
Ethiopia	62.25285366	4.769	52.24114634	6.529	46.94495122	7.246
European Union	80.17825145	1.574440809	77.10184195	1.464006051	74.8448138	1.642886351
Finland	80.47073171	1.83	77.46585366	1.73	74.81317073	1.78
Fiji	69.56397561	2.641	67.60585366	3.09	65.57085366	3.398
France	81.66829268	2.03	78.95853659	1.89	76.6	1.77
Faeroe Islands	81.92926829		78.83414634		76.61219512	
"Micronesia, Fed. Sts."	68.73797561	3.402	67.2752439	4.3	66.19758537	4.958
Gabon	62.69334146	4.178	59.68802439	4.6	61.289	5.421
United Kingdom	80.75365854	1.98	77.74146341	1.64	75.8804878	1.83
Georgia	73.80978049	1.822	71.63034146	1.609	69.99960976	2.18
Ghana	60.78858537	3.985	56.98758537	4.669	56.75163415	5.616
Guinea	55.59019512	5.088	51.24992683	5.939	49.91885366	6.579
"Gambia, The"	58.37480488	5.789	55.17121951	5.917	52.217	6.107
Guinea-Bissau	53.79609756	5.052	51.44692683	5.845	49.07382927	6.649
Equatorial Guinea	52.08490244	5.044	47.76370732	5.773	46.5554878	5.9
Greece	80.74390244	1.43	77.88780488	1.26	76.93902439	1.4
Grenada	72.47636585	2.217	70.25312195	2.582	68.47502439	3.842
Greenland		2.1	65.92682927	2.308		2.44
Guatemala	71.32790244	3.908	67.74121951	4.801	62.23841463	5.58
Guam	78.36058537	2.448	75.09802439	2.824	72.04409756	3.013
Guyana	65.88007317	2.638	63.4847561	2.585	62.12219512	2.467
High income	78.88348054	1.683394535	76.13955249	1.647279522	74.60719397	1.849947054
"Hong Kong SAR, China"	83.42195122	1.204	80.87804878	1.035	77.3804878	1.272
Honduras	73.17319512	3.101	70.48414634	3.996	66.68904878	5.142
Heavily indebted poor countries (HIPC)	57.7773898	5.194085116	51.74389951	6.082106352	49.62887644	6.635110329
Croatia	76.87560976	1.46	72.80780488	1.39	72.1704878	1.63
Haiti	62.30597561	3.28	57.42278049	4.303	54.42860976	5.43
Hungary	74.85853659	1.23	71.24634146	1.32	69.31560976	1.84
Indonesia	70.39156098	2.403	67.25121951	2.484	63.44934146	3.122
Isle of Man						
India	65.9584878	2.532	62.16185366	3.145	58.52919512	3.878
Not classified						
