INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
Westmont CollegePrivate 4-year,Private_4_year,CA,14296,45304,59600,45304,59600
Whittier CollegePrivate 4-year,Private_4_year,CA,14410,48086,62496,48086,62496
William Jessup UniversityPrivate 4-year,Private_4_year,CA,11320,32950,44270,32950,44270
Yeshiva Ohr Elchonon Chabad/West Coast Talmudical SeminaryPrivate 4-year,Private_4_year,CA,8700,14300,23000,14300,23000
Adams State UniversityPublic 4-year,Public_4 year,CO,8782,9440,18222,20456,29238
Colorado Mesa UniversityPublic 4-year,Public_4 year,CO,10925,9243,20168,22440,33365
Colorado School of MinesPublic 4-year,Public_4 year,CO,13169,18964,32133,38584,51753
Colorado State UniversityPublic 4-year,Public_4 year,CO,11964,11831,23795,29732,41696
Colorado State University - Global CampusPublic 4-year,Public_4 year,CO,NA,10500,10500,10500,10500
Colorado State University: PuebloPublic 4-year,Public_4 year,CO,10470,10408,20878,26329,36799
Fort Lewis CollegePublic 4-year,Public_4 year,CO,9878,9040,18918,19696,29574
Metropolitan State University of DenverPublic 4-year,Public_4 year,CO,NA,7665,7665,20847,20847
University of Colorado BoulderPublic 4-year,Public_4 year,CO,14418,12532,26950,37286,51704
University of Colorado Colorado SpringsPublic 4-year,Public_4 year,CO,10500,10463,20963,24893,35393
University of Colorado DenverPublic 4-year,Public_4 year,CO,NA,11394,11394,32004,32004
University of Northern ColoradoPublic 4-year,Public_4 year,CO,11204,9786,20990,21474,32678
Western State Colorado UniversityPublic 4-year,Public_4 year,CO,9635,10114,19749,21586,31221
Colorado Christian UniversityPrivate 4-year,Private_4_year,CO,11846,31866,43712,31866,43712
Colorado CollegePrivate 4-year,Private_4_year,CO,12512,55470,67982,55470,67982
Johnson & Wales University: DenverPrivate 4-year,Private_4_year,CO,12546,32091,44637,32091,44637
Naropa UniversityPrivate 4-year,Private_4_year,CO,12849,31790,44639,31790,44639
Nazarene Bible CollegePrivate 4-year,Private_4_year,CO,NA,14700,14700,14700,14700
Regis UniversityPrivate 4-year,Private_4_year,CO,11560,36810,48370,36810,48370
University of DenverPrivate 4-year,Private_4_year,CO,13005,50556,63561,50556,63561
Central Connecticut State UniversityPublic 4-year,Public_4 year,CT,12176,10616,22792,21856,34032
Charter Oak State CollegePublic 4-year,Public_4 year,CT,NA,10161,10161,13101,13101
Eastern Connecticut State UniversityPublic 4-year,Public_4 year,CT,13560,11356,24916,22596,36156
Southern Connecticut State UniversityPublic 4-year,Public_4 year,CT,12860,10875,23735,22115,34975
University of ConnecticutPublic 4-year,Public_4 year,CT,12874,15730,28604,38098,50972
Western Connecticut State UniversityPublic 4-year,Public_4 year,CT,13072,10819,23891,22059,35131
Paier College of ArtFor-profit 4-year,For_profit_4_year,CT,NA,18040,18040,18040,18040
Post UniversityFor-profit 4-year,For_profit_4_year,CT,11600,31050,42650,31050,42650
Albertus Magnus CollegePrivate 4-year,Private_4_year,CT,13200,32060,45260,32060,45260
Connecticut CollegePrivate 4-year,Private_4_year,CT,15150,54820,69970,54820,69970
Fairfield UniversityPrivate 4-year,Private_4_year,CT,14710,48350,63060,48350,63060
Holy Apostles College and SeminaryPrivate 4-year,Private_4_year,CT,NA,9670,9670,9670,9670
Mitchell CollegePrivate 4-year,Private_4_year,CT,13000,33200,46200,33200,46200
Quinnipiac UniversityPrivate 4-year,Private_4_year,CT,14540,47960,62500,47960,62500
Sacred Heart UniversityPrivate 4-year,Private_4_year,CT,15310,41420,56730,41420,56730
Trinity CollegePrivate 4-year,Private_4_year,CT,14750,56910,71660,56910,71660
University of BridgeportPrivate 4-year,Private_4_year,CT,13860,32850,46710,32850,46710
University of HartfordPrivate 4-year,Private_4_year,CT,12476,40694,53170,40694,53170
University of New HavenPrivate 4-year,Private_4_year,CT,15900,39270,55170,39270,55170
University of Saint JosephPrivate 4-year,Private_4_year,CT,11428,39173,50601,39173,50601
Yale UniversityPrivate 4-year,Private_4_year,CT,16000,53430,69430,53430,69430
Wesleyan UniversityPrivate 4-year,Private_4_year,CT,15060,54914,69974,54914,69974
University of the District of ColumbiaPublic 4-year,Public_4 year,DC,16425,8252,24677,16388,32813
American UniversityPrivate 4-year,Private_4_year,DC,14880,48459,63339,48459,63339
Catholic University of AmericaPrivate 4-year,Private_4_year,DC,14650,45804,60454,45804,60454
Gallaudet UniversityPrivate 4-year,Private_4_year,DC,14100,17038,31138,17038,31138
George Washington UniversityPrivate 4-year,Private_4_year,DC,13850,55230,69080,55230,69080
Georgetown UniversityPrivate 4-year,Private_4_year,DC,16509,54104,70613,54104,70613
Howard UniversityPrivate 4-year,Private_4_year,DC,13895,27056,40951,27056,40951
Trinity Washington UniversityPrivate 4-year,Private_4_year,DC,11160,24150,35310,24150,35310
Delaware State UniversityPublic 4-year,Public_4 year,DE,12190,7868,20058,16904,29094
University of DelawarePublic 4-year,Public_4 year,DE,12862,13680,26542,34310,47172
Goldey-Beacom CollegePrivate 4-year,Private_4_year,DE,6400,24300,30700,24300,30700
Wesley CollegePrivate 4-year,Private_4_year,DE,11717,26406,38123,26406,38123
Wilmington UniversityPrivate 4-year,Private_4_year,DE,NA,11210,11210,11210,11210
Florida Agricultural and Mechanical UniversityPublic 4-year,Public_4 year,FL,10594,5827,16421,17768,28362
Florida Atlantic UniversityPublic 4-year,Public_4 year,FL,11896,6039,17935,21595,33491
Florida Gulf Coast UniversityPublic 4-year,Public_4 year,FL,10156,6118,16274,25162,35318
Florida International UniversityPublic 4-year,Public_4 year,FL,10882,6558,17440,18956,29838
Florida State UniversityPublic 4-year,Public_4 year,FL,10816,6516,17332,21683,32499
New College of FloridaPublic 4-year,Public_4 year,FL,9264,6919,16183,29944,39208
University of Central FloridaPublic 4-year,Public_4 year,FL,9617,6368,15985,22467,32084
University of FloridaPublic 4-year,Public_4 year,FL,10120,6381,16501,28658,38778
University of North FloridaPublic 4-year,Public_4 year,FL,9976,6394,16370,20112,30088
University of South FloridaPublic 4-year,Public_4 year,FL,11610,6410,18020,17324,28934
University of South Florida: Saint PetersburgPublic 4-year,Public_4 year,FL,11610,5821,17431,16735,28345
University of South Florida: Sarasota-ManateePublic 4-year,Public_4 year,FL,NA,5587,5587,16502,16502
University of West FloridaPublic 4-year,Public_4 year,FL,9942,6360,16302,18628,28570
Schiller International UniversityFor-profit 4-year,For_profit_4_year,FL,NA,17700,17700,17700,17700
Adventist University of Health SciencesPrivate 4-year,Private_4_year,FL,4200,15150,19350,15150,19350
Ave Maria UniversityPrivate 4-year,Private_4_year,FL,11436,20850,32286,20850,32286
Baptist College of FloridaPrivate 4-year,Private_4_year,FL,4612,12300,16912,12300,16912
Bethune-Cookman UniversityPrivate 4-year,Private_4_year,FL,9412,14814,24226,14814,24226
Barry UniversityPrivate 4-year,Private_4_year,FL,11100,29850,40950,29850,40950
Beacon CollegePrivate 4-year,Private_4_year,FL,11390,39016,50406,39016,50406
Carlos Albizu UniversityPrivate 4-year,Private_4_year,FL,NA,10234,10234,10234,10234
Eckerd CollegePrivate 4-year,Private_4_year,FL,12588,44540,57128,44540,57128
Edward Waters CollegePrivate 4-year,Private_4_year,FL,7282,13725,21007,13725,21007
Embry-Riddle Aeronautical University: Daytona Beach CampusPrivate 4-year,Private_4_year,FL,11438,35814,47252,35814,47252
Embry-Riddle Aeronautical University: Worldwide CampusPrivate 4-year,Private_4_year,FL,NA,9360,9360,9360,9360
Everglades UniversityPrivate 4-year,Private_4_year,FL,NA,17145,17145,17145,17145
