INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
Babson CollegePrivate 4-year,Private_4_year,MA,16312,51104,67416,51104,67416
Bard College at Simon's RockPrivate 4-year,Private_4_year,MA,14916,55732,70648,55732,70648
Berklee College of MusicPrivate 4-year,Private_4_year,MA,18180,42750,60930,42750,60930
Bay Path UniversityPrivate 4-year,Private_4_year,MA,12799,34225,47024,34225,47024
Becker CollegePrivate 4-year,Private_4_year,MA,13800,39200,53000,39200,53000
Bentley UniversityPrivate 4-year,Private_4_year,MA,16320,49880,66200,49880,66200
Boston Architectural CollegePrivate 4-year,Private_4_year,MA,13280,21894,35174,21894,35174
Boston Baptist CollegePrivate 4-year,Private_4_year,MA,7810,12600,20410,12600,20410
Boston CollegePrivate 4-year,Private_4_year,MA,14478,55464,69942,55464,69942
Boston Conservatory at BerkleePrivate 4-year,Private_4_year,MA,18360,46020,64380,46020,64380
Boston UniversityPrivate 4-year,Private_4_year,MA,15720,53948,69668,53948,69668
Brandeis UniversityPrivate 4-year,Private_4_year,MA,15440,55395,70835,55395,70835
Cambridge CollegePrivate 4-year,Private_4_year,MA,NA,13040,13040,13040,13040
Clark UniversityPrivate 4-year,Private_4_year,MA,9170,45730,54900,45730,54900
College of the Holy CrossPrivate 4-year,Private_4_year,MA,14520,52770,67290,52770,67290
Curry CollegePrivate 4-year,Private_4_year,MA,15885,39720,55605,39720,55605
Eastern Nazarene CollegePrivate 4-year,Private_4_year,MA,9624,25598,35222,25598,35222
Elms CollegePrivate 4-year,Private_4_year,MA,13108,35788,48896,35788,48896
Emerson CollegePrivate 4-year,Private_4_year,MA,17690,46852,64542,46852,64542
Emmanuel CollegePrivate 4-year,Private_4_year,MA,14994,39804,54798,39804,54798
Endicott CollegePrivate 4-year,Private_4_year,MA,15726,33050,48776,33050,48776
Fisher CollegePrivate 4-year,Private_4_year,MA,15926,31384,47310,31384,47310
Franklin W. Olin College of EngineeringPrivate 4-year,Private_4_year,MA,16300,53736,70036,53736,70036
Gordon CollegePrivate 4-year,Private_4_year,MA,11070,37400,48470,37400,48470
Hampshire CollegePrivate 4-year,Private_4_year,MA,13606,51668,65274,51668,65274
Harvard CollegePrivate 4-year,Private_4_year,MA,17160,50420,67580,50420,67580
Hellenic College/Holy CrossPrivate 4-year,Private_4_year,MA,16192,22490,38682,22490,38682
Lasell CollegePrivate 4-year,Private_4_year,MA,15400,36000,51400,36000,51400
Lesley UniversityPrivate 4-year,Private_4_year,MA,16230,28770,45000,28770,45000
Massachusetts Institute of TechnologyPrivate 4-year,Private_4_year,MA,15510,51832,67342,51832,67342
MCPHS UniversityPrivate 4-year,Private_4_year,MA,16400,32705,49105,32705,49105
Merrimack CollegePrivate 4-year,Private_4_year,MA,15845,41760,57605,41760,57605
Montserrat College of ArtPrivate 4-year,Private_4_year,MA,9900,33400,43300,33400,43300
Mount Holyoke CollegePrivate 4-year,Private_4_year,MA,14660,49998,64658,49998,64658
Mount Ida CollegePrivate 4-year,Private_4_year,MA,13680,35720,49400,35720,49400
New England Conservatory of MusicPrivate 4-year,Private_4_year,MA,15900,48750,64650,48750,64650
Newbury CollegePrivate 4-year,Private_4_year,MA,14900,35540,50440,35540,50440
Nichols CollegePrivate 4-year,Private_4_year,MA,13950,34800,48750,34800,48750
Northeastern UniversityPrivate 4-year,Private_4_year,MA,16880,51387,68267,51387,68267
Northpoint Bible CollegePrivate 4-year,Private_4_year,MA,9500,12580,22080,12580,22080
Pine Manor CollegePrivate 4-year,Private_4_year,MA,13830,31660,45490,31660,45490
Regis CollegePrivate 4-year,Private_4_year,MA,15180,41015,56195,41015,56195
School of the Museum of Fine ArtsPrivate 4-year,Private_4_year,MA,14560,56382,70942,56382,70942
Simmons CollegePrivate 4-year,Private_4_year,MA,15200,40800,56000,40800,56000
Smith CollegePrivate 4-year,Private_4_year,MA,17520,52404,69924,52404,69924
Springfield CollegePrivate 4-year,Private_4_year,MA,12550,37445,49995,37445,49995
Stonehill CollegePrivate 4-year,Private_4_year,MA,16000,42746,58746,42746,58746
Suffolk UniversityPrivate 4-year,Private_4_year,MA,17846,38566,56412,38566,56412
Tufts UniversityPrivate 4-year,Private_4_year,MA,14560,56382,70942,56382,70942
Wellesley CollegePrivate 4-year,Private_4_year,MA,16468,53732,70200,53732,70200
Wentworth Institute of TechnologyPrivate 4-year,Private_4_year,MA,14190,33950,48140,33950,48140
Williams CollegePrivate 4-year,Private_4_year,MA,14500,55450,69950,55450,69950
Worcester Polytechnic InstitutePrivate 4-year,Private_4_year,MA,14774,50530,65304,50530,65304
Western New England UniversityPrivate 4-year,Private_4_year,MA,13590,36804,50394,36804,50394
Wheaton CollegePrivate 4-year,Private_4_year,MA,13424,52626,66050,52626,66050
Bowie State UniversityPublic 4-year,Public_4 year,MD,10904,8233,19137,18873,29777
Coppin State UniversityPublic 4-year,Public_4 year,MD,10390,6625,17015,12896,23286
Frostburg State UniversityPublic 4-year,Public_4 year,MD,10202,9172,19374,22892,33094
Morgan State UniversityPublic 4-year,Public_4 year,MD,10260,7900,18160,18167,28427
Salisbury UniversityPublic 4-year,Public_4 year,MD,11950,9824,21774,19526,31476
St. Mary's College of MarylandPublic 4-year,Public_4 year,MD,13202,14806,28008,30568,43770
Towson UniversityPublic 4-year,Public_4 year,MD,13034,9940,22974,23208,36242
University of BaltimorePublic 4-year,Public_4 year,MD,NA,8958,8958,21076,21076
University of Maryland: BaltimorePublic 4-year,Public_4 year,MD,NA,11033,11033,39267,39267
University of Maryland: Baltimore CountyPublic 4-year,Public_4 year,MD,11696,11778,23474,26872,38568
University of Maryland: College ParkPublic 4-year,Public_4 year,MD,12429,10595,23024,35216,47645
University of Maryland: Eastern ShorePublic 4-year,Public_4 year,MD,9864,8302,18166,18508,28372
University of Maryland: University CollegePublic 4-year,Public_4 year,MD,NA,7416,7416,12336,12336
Capitol Technology UniversityPrivate 4-year,Private_4_year,MD,5708,25428,31136,25428,31136
Goucher CollegePrivate 4-year,Private_4_year,MD,14506,44300,58806,44300,58806
Hood CollegePrivate 4-year,Private_4_year,MD,12700,39492,52192,39492,52192
Johns Hopkins UniversityPrivate 4-year,Private_4_year,MD,15836,54240,70076,54240,70076
Johns Hopkins University: Peabody Conservatory of MusicPrivate 4-year,Private_4_year,MD,15838,50180,66018,50180,66018
Loyola University MarylandPrivate 4-year,Private_4_year,MD,14430,49085,63515,49085,63515
Maryland Institute College of ArtPrivate 4-year,Private_4_year,MD,13280,48630,61910,48630,61910
McDaniel CollegePrivate 4-year,Private_4_year,MD,11430,43260,54690,43260,54690
Mount St. Mary's UniversityPrivate 4-year,Private_4_year,MD,13075,41350,54425,41350,54425
Ner Israel Rabbinical CollegePrivate 4-year,Private_4_year,MD,6600,12400,19000,12400,19000
Notre Dame of Maryland UniversityPrivate 4-year,Private_4_year,MD,11850,36900,48750,36900,48750
St. John's CollegePrivate 4-year,Private_4_year,MD,12602,53218,65820,53218,65820
Stevenson UniversityPrivate 4-year,Private_4_year,MD,13130,36182,49312,36182,49312
Washington Adventist UniversityPrivate 4-year,Private_4_year,MD,9370,23900,33270,23900,33270
Washington CollegePrivate 4-year,Private_4_year,MD,12414,46978,59392,46978,59392
Yeshiva College of the Nations CapitalPrivate 4-year,Private_4_year,MD,10400,10200,20600,10200,20600
Maine Maritime AcademyPublic 4-year,Public_4 year,ME,10310,13478,23788,27098,37408
University of MainePublic 4-year,Public_4 year,ME,10418,11170,21588,30970,41388
University of Maine at AugustaPublic 4-year,Public_4 year,ME,NA,7988,7988,17918,17918
University of Maine at FarmingtonPublic 4-year,Public_4 year,ME,9726,9666,19392,19778,29504
University of Maine at Fort KentPublic 4-year,Public_4 year,ME,8220,8115,16335,12315,20535
University of Maine at MachiasPublic 4-year,Public_4 year,ME,8486,7840,16326,15100,23586
University of Maine at Presque IslePublic 4-year,Public_4 year,ME,8406,8035,16441,12235,20641
University of Southern MainePublic 4-year,Public_4 year,ME,9450,9520,18970,22780,32230
Bates CollegePrivate 4-year,Private_4_year,ME,15224,53794,69018,53794,69018
Bowdoin CollegePrivate 4-year,Private_4_year,ME,14698,53922,68620,53922,68620
Colby CollegePrivate 4-year,Private_4_year,ME,14190,55210,69400,55210,69400
College of the AtlanticPrivate 4-year,Private_4_year,ME,9747,43542,53289,43542,53289
Husson UniversityPrivate 4-year,Private_4_year,ME,9830,18180,28010,18180,28010
Maine College of ArtPrivate 4-year,Private_4_year,ME,11890,35000,46890,35000,46890
Saint Joseph's College of MainePrivate 4-year,Private_4_year,ME,13680,35650,49330,35650,49330
Thomas CollegePrivate 4-year,Private_4_year,ME,11250,26900,38150,26900,38150
Unity CollegePrivate 4-year,Private_4_year,ME,10710,29160,39870,29160,39870
University of New EnglandPrivate 4-year,Private_4_year,ME,13990,37620,51610,37620,51610
Central Michigan UniversityPublic 4-year,Public_4 year,MI,10076,12960,23036,12960,23036
Eastern Michigan UniversityPublic 4-year,Public_4 year,MI,9854,13959,23813,13959,23813
Ferris State UniversityPublic 4-year,Public_4 year,MI,9894,12630,22524,12630,22524
Grand Valley State UniversityPublic 4-year,Public_4 year,MI,8690,12484,21174,17762,26452
Lake Superior State UniversityPublic 4-year,Public_4 year,MI,9882,12090,21972,12090,21972
Michigan State UniversityPublic 4-year,Public_4 year,MI,10322,14460,24782,39765,50087
Michigan Technological UniversityPublic 4-year,Public_4 year,MI,10756,15646,26402,33726,44482
Northern Michigan UniversityPublic 4-year,Public_4 year,MI,10666,10988,21654,16484,27150
Oakland UniversityPublic 4-year,Public_4 year,MI,10100,12606,22706,24230,34330
Saginaw Valley State UniversityPublic 4-year,Public_4 year,MI,10186,10308,20494,24215,34401
University of MichiganPublic 4-year,Public_4 year,MI,11534,15262,26796,49350,60884
University of Michigan: DearbornPublic 4-year,Public_4 year,MI,NA,12930,12930,25158,25158
University of Michigan: FlintPublic 4-year,Public_4 year,MI,8769,11820,20589,22578,31347
Wayne State UniversityPublic 4-year,Public_4 year,MI,10427,13347,23774,28241,38668
Western Michigan UniversityPublic 4-year,Public_4 year,MI,10143,12483,22626,15373,25516
Adrian CollegePrivate 4-year,Private_4_year,MI,11318,37087,48405,37087,48405
Albion CollegePrivate 4-year,Private_4_year,MI,12380,45775,58155,45775,58155
Alma CollegePrivate 4-year,Private_4_year,MI,10998,40258,51256,40258,51256
Andrews UniversityPrivate 4-year,Private_4_year,MI,9078,29288,38366,29288,38366
Aquinas CollegePrivate 4-year,Private_4_year,MI,9332,32574,41906,32574,41906
Calvin CollegePrivate 4-year,Private_4_year,MI,10200,34600,44800,34600,44800
Cleary UniversityPrivate 4-year,Private_4_year,MI,9600,20250,29850,20250,29850
College for Creative StudiesPrivate 4-year,Private_4_year,MI,8800,44110,52910,44110,52910
Concordia UniversityPrivate 4-year,Private_4_year,MI,10310,29320,39630,29320,39630
Cornerstone UniversityPrivate 4-year,Private_4_year,MI,9300,24500,33800,24500,33800
Davenport UniversityPrivate 4-year,Private_4_year,MI,9928,22800,32728,22800,32728
Finlandia UniversityPrivate 4-year,Private_4_year,MI,8800,22758,31558,22758,31558
Grace Bible CollegePrivate 4-year,Private_4_year,MI,7700,19950,27650,19950,27650
Great Lakes Christian CollegePrivate 4-year,Private_4_year,MI,8800,17220,26020,17220,26020
Hillsdale CollegePrivate 4-year,Private_4_year,MI,11000,27577,38577,27577,38577
Hope CollegePrivate 4-year,Private_4_year,MI,10310,34010,44320,34010,44320
Kalamazoo CollegePrivate 4-year,Private_4_year,MI,9756,48516,58272,48516,58272
Kettering UniversityPrivate 4-year,Private_4_year,MI,8240,43490,51730,43490,51730
Kuyper CollegePrivate 4-year,Private_4_year,MI,7285,21989,29274,21989,29274
Lawrence Technological UniversityPrivate 4-year,Private_4_year,MI,9950,33570,43520,33570,43520
Madonna UniversityPrivate 4-year,Private_4_year,MI,9950,21900,31850,21900,31850
Manthano Christian CollegePrivate 4-year,Private_4_year,MI,NA,7050,7050,7050,7050
Marygrove CollegePrivate 4-year,Private_4_year,MI,7800,23630,31430,23630,31430
Michigan Jewish InstitutePrivate 4-year,Private_4_year,MI,NA,10600,10600,10600,10600
Northwood University: MichiganPrivate 4-year,Private_4_year,MI,10480,27060,37540,27060,37540
Olivet CollegePrivate 4-year,Private_4_year,MI,9590,27700,37290,27700,37290
Rochester CollegePrivate 4-year,Private_4_year,MI,7376,24218,31594,24218,31594
Sacred Heart Major SeminaryPrivate 4-year,Private_4_year,MI,10675,19840,30515,19840,30515
Siena Heights UniversityPrivate 4-year,Private_4_year,MI,10620,27124,37744,27124,37744
Spring Arbor UniversityPrivate 4-year,Private_4_year,MI,10010,28810,38820,28810,38820
University of Detroit MercyPrivate 4-year,Private_4_year,MI,9496,28000,37496,28000,37496
Walsh College of Accountancy and Business AdministrationPrivate 4-year,Private_4_year,MI,NA,17625,17625,17625,17625
Yeshiva Beth Yehuda-Yeshiva Gedolah of Greater DetroitPrivate 4-year,Private_4_year,MI,4200,6800,11000,6800,11000
Bemidji State UniversityPublic 4-year,Public_4 year,MN,8408,8696,17104,8696,17104
Metropolitan State UniversityPublic 4-year,Public_4 year,MN,NA,7879,7879,14980,14980
Minnesota State University MankatoPublic 4-year,Public_4 year,MN,8719,8184,16903,16235,24954
Minnesota State University MoorheadPublic 4-year,Public_4 year,MN,9280,8574,17854,15983,25263
Saint Cloud State UniversityPublic 4-year,Public_4 year,MN,8900,8912,17812,17146,26046
Southwest Minnesota State UniversityPublic 4-year,Public_4 year,MN,7985,8632,16617,8632,16617
University of Minnesota: CrookstonPublic 4-year,Public_4 year,MN,7658,11921,19579,11921,19579
University of Minnesota: DuluthPublic 4-year,Public_4 year,MN,7760,13367,21127,18485,26245
University of Minnesota: MorrisPublic 4-year,Public_4 year,MN,8342,13314,21656,15342,23684
University of Minnesota: RochesterPublic 4-year,Public_4 year,MN,9710,13352,23062,13352,23062
University of Minnesota: Twin CitiesPublic 4-year,Public_4 year,MN,10312,14693,25005,30371,40683
Winona State UniversityPublic 4-year,Public_4 year,MN,9010,9425,18435,15348,24358
Capella UniversityFor-profit 4-year,For_profit_4_year,MN,NA,13788,13788,13788,13788
Walden UniversityFor-profit 4-year,For_profit_4_year,MN,NA,15045,15045,15045,15045
Augsburg UniversityPrivate 4-year,Private_4_year,MN,10280,38800,49080,38800,49080
Bethany Lutheran CollegePrivate 4-year,Private_4_year,MN,8100,27650,35750,27650,35750
Bethel UniversityPrivate 4-year,Private_4_year,MN,10520,37300,47820,37300,47820
Carleton CollegePrivate 4-year,Private_4_year,MN,14085,54759,68844,54759,68844
College of St. BenedictPrivate 4-year,Private_4_year,MN,10904,45264,56168,45264,56168
College of St. ScholasticaPrivate 4-year,Private_4_year,MN,9710,37212,46922,37212,46922
Concordia College: MoorheadPrivate 4-year,Private_4_year,MN,8230,39878,48108,39878,48108
Concordia University St. PaulPrivate 4-year,Private_4_year,MN,9000,22275,31275,22275,31275
Crown CollegePrivate 4-year,Private_4_year,MN,8660,26200,34860,26200,34860
Gustavus Adolphus CollegePrivate 4-year,Private_4_year,MN,9910,45400,55310,45400,55310
Hamline UniversityPrivate 4-year,Private_4_year,MN,10358,41298,51656,41298,51656
Macalester CollegePrivate 4-year,Private_4_year,MN,12156,54344,66500,54344,66500
Martin Luther CollegePrivate 4-year,Private_4_year,MN,6080,15410,21490,15410,21490
McNally Smith College of MusicPrivate 4-year,Private_4_year,MN,6260,29300,35560,29300,35560
Minneapolis College of Art and DesignPrivate 4-year,Private_4_year,MN,5610,39210,44820,39210,44820
North Central UniversityPrivate 4-year,Private_4_year,MN,7400,24240,31640,24240,31640
Northwestern Health Sciences UniversityPrivate 4-year,Private_4_year,MN,NA,13380,13380,13380,13380
Oak Hills Christian CollegePrivate 4-year,Private_4_year,MN,6984,17314,24298,17314,24298
St. Catherine UniversityPrivate 4-year,Private_4_year,MN,9260,39669,48929,39669,48929
St. John's UniversityPrivate 4-year,Private_4_year,MN,10319,44990,55309,44990,55309
St. Mary's University of MinnesotaPrivate 4-year,Private_4_year,MN,9080,35140,44220,35140,44220
St. Olaf CollegePrivate 4-year,Private_4_year,MN,10850,47840,58690,47840,58690
University of Northwestern - St. PaulPrivate 4-year,Private_4_year,MN,9460,31540,41000,31540,41000
University of St. ThomasPrivate 4-year,Private_4_year,MN,10412,42736,53148,42736,53148
Harris-Stowe State UniversityPublic 4-year,Public_4 year,MO,9250,5340,14590,9973,19223
Lincoln UniversityPublic 4-year,Public_4 year,MO,7068,7632,14700,14172,21240
Missouri Southern State UniversityPublic 4-year,Public_4 year,MO,6865,6967,13832,13934,20799
Missouri State UniversityPublic 4-year,Public_4 year,MO,8755,7452,16207,15342,24097
Missouri University of Science and TechnologyPublic 4-year,Public_4 year,MO,10274,10169,20443,28499,38773
Missouri Western State UniversityPublic 4-year,Public_4 year,MO,NA,6466,6466,14137,14137
Northwest Missouri State UniversityPublic 4-year,Public_4 year,MO,10016,9805,19821,16457,26473
Southeast Missouri State UniversityPublic 4-year,Public_4 year,MO,8935,7418,16353,13155,22090
Truman State UniversityPublic 4-year,Public_4 year,MO,8780,7729,16509,14581,23361
University of Central MissouriPublic 4-year,Public_4 year,MO,8766,7673,16439,14442,23208
University of Missouri: ColumbiaPublic 4-year,Public_4 year,MO,10786,12055,22841,29025,39811
University of Missouri: Kansas CityPublic 4-year,Public_4 year,MO,10334,9884,20218,25010,35344
University of Missouri: St. LouisPublic 4-year,Public_4 year,MO,9450,10491,19941,27900,37350
Research College of NursingFor-profit 4-year,For_profit_4_year,MO,9970,37600,47570,37600,47570
Avila UniversityPrivate 4-year,Private_4_year,MO,7200,19900,27100,19900,27100
Baptist Bible CollegePrivate 4-year,Private_4_year,MO,7500,14150,21650,14150,21650
Calvary UniversityPrivate 4-year,Private_4_year,MO,5492,11164,16656,11164,16656
Central Methodist UniversityPrivate 4-year,Private_4_year,MO,7940,24420,32360,24420,32360
College of the OzarksPrivate 4-year,Private_4_year,MO,7400,19360,26760,19360,26760
Columbia CollegePrivate 4-year,Private_4_year,MO,7808,22704,30512,22704,30512
Conception Seminary CollegePrivate 4-year,Private_4_year,MO,13321,21526,34847,21526,34847
Cottey CollegePrivate 4-year,Private_4_year,MO,7700,21150,28850,21150,28850
Cox CollegePrivate 4-year,Private_4_year,MO,NA,15510,15510,15510,15510
Culver-Stockton CollegePrivate 4-year,Private_4_year,MO,8520,26680,35200,26680,35200
Drury UniversityPrivate 4-year,Private_4_year,MO,8096,28365,36461,28365,36461
Evangel UniversityPrivate 4-year,Private_4_year,MO,8522,23296,31818,23296,31818
Fontbonne UniversityPrivate 4-year,Private_4_year,MO,10530,26340,36870,26340,36870
Global UniversityPrivate 4-year,Private_4_year,MO,NA,4770,4770,4770,4770
Goldfarb School of Nursing at Barnes-Jewish CollegePrivate 4-year,Private_4_year,MO,NA,21150,21150,21150,21150
Hannibal-LaGrange UniversityPrivate 4-year,Private_4_year,MO,8108,22750,30858,22750,30858
Kansas City Art InstitutePrivate 4-year,Private_4_year,MO,10400,38400,48800,38400,48800
Lindenwood UniversityPrivate 4-year,Private_4_year,MO,9000,17600,26600,17600,26600
Logan UniversityPrivate 4-year,Private_4_year,MO,NA,8350,8350,8350,8350
Maryville University of Saint LouisPrivate 4-year,Private_4_year,MO,10088,28470,38558,28470,38558
Midwest UniversityPrivate 4-year,Private_4_year,MO,NA,7770,7770,7770,7770
Missouri Baptist UniversityPrivate 4-year,Private_4_year,MO,8720,27124,35844,27124,35844
Missouri Valley CollegePrivate 4-year,Private_4_year,MO,9150,20600,29750,20600,29750
Ozark Christian CollegePrivate 4-year,Private_4_year,MO,6160,12620,18780,12620,18780
Park UniversityPrivate 4-year,Private_4_year,MO,8200,12650,20850,12650,20850
Rockhurst UniversityPrivate 4-year,Private_4_year,MO,10200,37590,47790,37590,47790
Saint Louis UniversityPrivate 4-year,Private_4_year,MO,12290,43884,56174,43884,56174
Saint Luke's College of Health SciencesPrivate 4-year,Private_4_year,MO,NA,17045,17045,17045,17045
Southwest Baptist UniversityPrivate 4-year,Private_4_year,MO,7720,24010,31730,24010,31730
St. Louis Christian CollegePrivate 4-year,Private_4_year,MO,5050,11560,16610,11560,16610
Stephens CollegePrivate 4-year,Private_4_year,MO,10632,30950,41582,30950,41582
Washington University in St. LouisPrivate 4-year,Private_4_year,MO,16440,53399,69839,53399,69839
Webster UniversityPrivate 4-year,Private_4_year,MO,11050,27900,38950,27900,38950
Westminster CollegePrivate 4-year,Private_4_year,MO,10140,27600,37740,27600,37740
William Jewell CollegePrivate 4-year,Private_4_year,MO,9930,34400,44330,34400,44330
William Woods UniversityPrivate 4-year,Private_4_year,MO,9700,24110,33810,24110,33810
Alcorn State UniversityPublic 4-year,Public_4 year,MS,9608,7144,16752,7144,16752
Delta State UniversityPublic 4-year,Public_4 year,MS,7722,7246,14968,7246,14968
Jackson State UniversityPublic 4-year,Public_4 year,MS,9552,8226,17778,19454,29006
Mississippi State UniversityPublic 4-year,Public_4 year,MS,10090,8760,18850,23360,33450
Mississippi University for WomenPublic 4-year,Public_4 year,MS,7424,7040,14464,7040,14464
Mississippi Valley State UniversityPublic 4-year,Public_4 year,MS,8043,6570,14613,6570,14613
University of MississippiPublic 4-year,Public_4 year,MS,10696,8660,19356,24614,35310
University of Mississippi Medical CenterPublic 4-year,Public_4 year,MS,NA,8433,8433,24731,24731
University of Southern MississippiPublic 4-year,Public_4 year,MS,9857,8734,18591,10734,20591
Blue Mountain CollegePrivate 4-year,Private_4_year,MS,6294,12584,18878,12584,18878
Belhaven UniversityPrivate 4-year,Private_4_year,MS,8500,25300,33800,25300,33800
Millsaps CollegePrivate 4-year,Private_4_year,MS,13730,39910,53640,39910,53640
Mississippi CollegePrivate 4-year,Private_4_year,MS,10300,18026,28326,18026,28326
Rust CollegePrivate 4-year,Private_4_year,MS,4300,9900,14200,9900,14200
Southeastern Baptist CollegePrivate 4-year,Private_4_year,MS,1700,6550,8250,6550,8250
Tougaloo CollegePrivate 4-year,Private_4_year,MS,6643,10790,17433,10790,17433
William Carey UniversityPrivate 4-year,Private_4_year,MS,6810,12600,19410,12600,19410
Montana State UniversityPublic 4-year,Public_4 year,MT,10100,7421,17521,24849,34949
Montana State University: BillingsPublic 4-year,Public_4 year,MT,7680,5930,13610,19250,26930
Montana State University: NorthernPublic 4-year,Public_4 year,MT,6520,5956,12476,18556,25076
Montana Tech of the University of MontanaPublic 4-year,Public_4 year,MT,9656,7411,17067,22574,32230
University of MontanaPublic 4-year,Public_4 year,MT,9544,7244,16788,24959,34503
University of Montana: WesternPublic 4-year,Public_4 year,MT,7950,5717,13667,17179,25129
Carroll CollegePrivate 4-year,Private_4_year,MT,9880,35486,45366,35486,45366
Montana Bible CollegePrivate 4-year,Private_4_year,MT,3200,8120,11320,8120,11320
Rocky Mountain CollegePrivate 4-year,Private_4_year,MT,8330,28512,36842,28512,36842
Salish Kootenai CollegePrivate 4-year,Private_4_year,MT,NA,6399,6399,11583,11583
University of Great FallsPrivate 4-year,Private_4_year,MT,9200,25318,34518,25318,34518
Appalachian State UniversityPublic 4-year,Public_4 year,NC,8304,7214,15518,22021,30325
East Carolina UniversityPublic 4-year,Public_4 year,NC,9606,7188,16794,23465,33071
Elizabeth City State UniversityPublic 4-year,Public_4 year,NC,8840,3194,12034,7194,16034
Fayetteville State UniversityPublic 4-year,Public_4 year,NC,8236,4915,13151,16523,24759
North Carolina Agricultural and Technical State UniversityPublic 4-year,Public_4 year,NC,7624,6612,14236,19822,27446
North Carolina Central UniversityPublic 4-year,Public_4 year,NC,8909,6348,15257,19055,27964
North Carolina State UniversityPublic 4-year,Public_4 year,NC,11078,9101,20179,28444,39522
University of North Carolina at AshevillePublic 4-year,Public_4 year,NC,9106,7145,16251,23868,32974
University of North Carolina at Chapel HillPublic 4-year,Public_4 year,NC,11190,8987,20177,35170,46360
University of North Carolina at CharlottePublic 4-year,Public_4 year,NC,11100,7044,18144,20478,31578
University of North Carolina at GreensboroPublic 4-year,Public_4 year,NC,9038,7319,16357,22478,31516
University of North Carolina at PembrokePublic 4-year,Public_4 year,NC,8924,3418,12342,7418,16342
University of North Carolina at WilmingtonPublic 4-year,Public_4 year,NC,10686,7000,17686,21065,31751
University of North Carolina School of the ArtsPublic 4-year,Public_4 year,NC,9021,9358,18379,25501,34522
Western Carolina UniversityPublic 4-year,Public_4 year,NC,9682,4220,13902,8220,17902
Winston-Salem State UniversityPublic 4-year,Public_4 year,NC,9550,5814,15364,16061,25611
Apex School of TheologyPrivate 4-year,Private_4_year,NC,NA,6200,6200,6200,6200
Barton CollegePrivate 4-year,Private_4_year,NC,10120,30880,41000,30880,41000
Belmont Abbey CollegePrivate 4-year,Private_4_year,NC,10355,18500,28855,18500,28855
Bennett College for WomenPrivate 4-year,Private_4_year,NC,8114,18513,26627,18513,26627
Brevard CollegePrivate 4-year,Private_4_year,NC,9900,29350,39250,29350,39250
Cabarrus College of Health SciencesPrivate 4-year,Private_4_year,NC,NA,13194,13194,13194,13194
Campbell UniversityPrivate 4-year,Private_4_year,NC,11430,32500,43930,32500,43930
Carolina Christian CollegePrivate 4-year,Private_4_year,NC,NA,8300,8300,8300,8300
Catawba CollegePrivate 4-year,Private_4_year,NC,10488,30520,41008,30520,41008
Charlotte Christian College and Theological SeminaryPrivate 4-year,Private_4_year,NC,NA,10688,10688,10688,10688
Chowan UniversityPrivate 4-year,Private_4_year,NC,9400,24980,34380,24980,34380
Davidson CollegePrivate 4-year,Private_4_year,NC,14372,51447,65819,51447,65819
Duke UniversityPrivate 4-year,Private_4_year,NC,15178,55695,70873,55695,70873
Elon UniversityPrivate 4-year,Private_4_year,NC,12230,35319,47549,35319,47549
Gardner-Webb UniversityPrivate 4-year,Private_4_year,NC,10390,31220,41610,31220,41610
Greensboro CollegePrivate 4-year,Private_4_year,NC,10800,29140,39940,29140,39940
Guilford CollegePrivate 4-year,Private_4_year,NC,11200,38250,49450,38250,49450
High Point UniversityPrivate 4-year,Private_4_year,NC,14130,35118,49248,35118,49248
John Wesley UniversityPrivate 4-year,Private_4_year,NC,3600,13330,16930,13330,16930
Johnson & Wales University: CharlottePrivate 4-year,Private_4_year,NC,14148,32091,46239,32091,46239
Johnson C. Smith UniversityPrivate 4-year,Private_4_year,NC,7100,18236,25336,18236,25336
Lees-McRae CollegePrivate 4-year,Private_4_year,NC,11078,26198,37276,26198,37276
Lenoir-Rhyne UniversityPrivate 4-year,Private_4_year,NC,12510,36400,48910,36400,48910
Livingstone CollegePrivate 4-year,Private_4_year,NC,6794,18297,25091,18297,25091
Mars Hill UniversityPrivate 4-year,Private_4_year,NC,9592,32968,42560,32968,42560
Meredith CollegePrivate 4-year,Private_4_year,NC,10930,37176,48106,37176,48106
Methodist UniversityPrivate 4-year,Private_4_year,NC,12890,33846,46736,33846,46736
Mid-Atlantic Christian UniversityPrivate 4-year,Private_4_year,NC,8600,14400,23000,14400,23000
Montreat CollegePrivate 4-year,Private_4_year,NC,9149,26670,35819,26670,35819
North Carolina Wesleyan CollegePrivate 4-year,Private_4_year,NC,10800,31000,41800,31000,41800
Pfeiffer UniversityPrivate 4-year,Private_4_year,NC,11226,30234,41460,30234,41460
Piedmont International UniversityPrivate 4-year,Private_4_year,NC,7810,10970,18780,10970,18780
Queens University of CharlottePrivate 4-year,Private_4_year,NC,10860,34684,45544,34684,45544
Saint Augustine's UniversityPrivate 4-year,Private_4_year,NC,7692,17890,25582,17890,25582
Salem CollegePrivate 4-year,Private_4_year,NC,11850,29416,41266,29416,41266
Shaw UniversityPrivate 4-year,Private_4_year,NC,8158,16480,24638,16480,24638
St. Andrews UniversityPrivate 4-year,Private_4_year,NC,10706,26648,37354,26648,37354
