Occupation,Numworkers,median_wage,male_worker,male_wage,female_worker,female_wage
Miscellaneous health technologists and technicians,117,873,44,NA,73,791
Other healthcare practitioners and technical occupations,100,"1,022",48,NA,52,961
Service occupations,"16,288",569,"7,948",641,"8,340",511
Healthcare support occupations,"2,595",561,361,661,"2,235",548
"Nursing, psychiatric, and home health aides","1,419",516,154,558,"1,265",513
Occupational therapy assistants and aides,24,NA,4,NA,21,NA
Physical therapist assistants and aides,68,848,24,NA,43,NA
Massage therapists,40,NA,15,NA,24,NA
Dental assistants,197,606,9,NA,187,598
Medical assistants,499,612,45,NA,454,607
Medical transcriptionists,23,NA,4,NA,18,NA
Pharmacy aides,28,NA,5,NA,23,NA
Veterinary assistants and laboratory animal caretakers,49,NA,10,NA,39,NA
Phlebotomists,96,624,29,NA,67,602
"Miscellaneous healthcare support occupations, including medical equipment preparers",154,598,61,703,93,559
Protective service occupations,"2,836",848,"2,258",922,578,613
FirstNAline supervisors of correctional officers,47,NA,35,NA,13,NA
FirstNAline supervisors of police and detectives,85,"1,460",74,"1,461",12,NA
FirstNAline supervisors of fire fighting and prevention workers,52,"1,304",50,"1,321",2,NA
"FirstNAline supervisors of protective service workers, all other",74,839,58,886,16,NA
Firefighters,295,"1,126",280,"1,133",14,NA
Fire inspectors,18,NA,16,NA,2,NA
"Bailiffs, correctional officers, and jailers",394,742,289,811,105,646
Detectives and criminal investigators,157,"1,331",122,"1,317",35,NA
Fish and game wardens,6,NA,5,NA,0,NA
Parking enforcement workers,4,NA,0,NA,4,NA
Police and sheriff's patrol officers,728,"1,092",622,"1,131",106,816
Transit and railroad police,1,NA,1,NA,0,NA
Animal control workers,13,NA,5,NA,8,NA
Private detectives and investigators,89,851,43,NA,46,NA
Security guards and gaming surveillance officers,781,596,594,636,187,506
Crossing guards,28,NA,22,NA,6,NA
Transportation security screeners,33,NA,27,NA,6,NA
"Lifeguards and other recreational, and all other protective service workers",31,NA,15,NA,16,NA
Food preparation and serving related occupations,"4,394",501,"2,210",533,"2,184",473
Chefs and head cooks,365,615,300,624,65,562
FirstNAline supervisors of food preparation and serving workers,397,583,166,668,231,539
Cooks,"1,325",486,804,518,521,437
Food preparation workers,473,463,206,486,267,446
Bartenders,275,581,124,601,151,560
"Combined food preparation and serving workers, including fast food",147,436,64,410,83,475
"Counter attendants, cafeteria, food concession, and coffee shop",41,NA,19,NA,22,NA
Waiters and waitresses,932,496,321,551,611,478
"Food servers, nonrestaurant",106,484,32,NA,74,475
Dining room and cafeteria attendants and bartender helpers,118,447,59,500,58,408
Dishwashers,111,441,89,434,22,NA
"Hosts and hostesses, restaurant, lounge, and coffee shop",102,471,24,NA,78,473
"Food preparation and serving related workers, all other",2,NA,1,NA,1,NA
Building and grounds cleaning and maintenance occupations,"3,695",551,"2,373",604,"1,322",477
FirstNAline supervisors of housekeeping and janitorial workers,193,711,116,772,77,615
"FirstNAline supervisors of landscaping, lawn service, and groundskeeping workers",95,770,93,774,2,NA
Janitors and building cleaners,"1,672",571,"1,193",607,480,491
Maids and housekeeping cleaners,825,467,102,559,723,457
Pest control workers,75,688,70,725,4,NA
Grounds maintenance workers,834,572,798,576,36,NA
Personal care and service occupations,"2,768",544,746,638,"2,022",517
FirstNAline supervisors of gaming workers,125,793,83,914,43,NA
FirstNAline supervisors of personal service workers,86,747,27,NA,60,739
Animal trainers,11,NA,4,NA,7,NA
Nonfarm animal caretakers,102,555,24,NA,79,548
Gaming services workers,73,654,37,NA,36,NA
Motion picture projectionists,0,NA,0,NA,0,NA
"Ushers, lobby attendants, and ticket takers",5,NA,3,NA,3,NA
Miscellaneous entertainment attendants and related workers,85,523,56,518,28,NA
Embalmers and funeral attendants,11,NA,8,NA,3,NA
"Morticians, undertakers, and funeral directors",27,NA,20,NA,7,NA
