CO2 Emissions per Capita (metric tons)                                                                                                                                                                                 
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                              
Tuvalu,Country,2006,Number,-,1                                                                                                                                                                                         
Uganda,Country,2006,Number,-,1                                                                                                                                                                                         
Ukraine,Country,2006,Number,6.6,                                                                                                                                                                                       
United Arab Emirates,Country,2006,Number,26.0,                                                                                                                                                                         
United Kingdom,Country,2006,Number,8.9,                                                                                                                                                                                
United States,Country,2006,Number,19.0,                                                                                                                                                                                
Uruguay,Country,2006,Number,1.9,                                                                                                                                                                                       
Uzbekistan,Country,2006,Number,4.3,                                                                                                                                                                                    
Vanuatu,Country,2006,Number,-,1                                                                                                                                                                                        
Venezuela,Country,2006,Number,5.5,                                                                                                                                                                                     
Vietnam,Country,2006,Number,1.0,                                                                                                                                                                                       
Western Sahara,Country,2006,Number,-,1                                                                                                                                                                                 
Yemen,Country,2006,Number,0.9,                                                                                                                                                                                         
Zambia,Country,2006,Number,0.2,                                                                                                                                                                                        
Zimbabwe,Country,2006,Number,0.8,                                                                                                                                                                                      
Source                                                                                                                                                                                                                 
PRB 2009 World Population Data Sheet                                                                                                                                                                                   
Footnotes                                                                                                                                                                                                              
1,"(-) Data unavailable, inapplicable, or not collected."                                                                                                                                                              
